ID,Reef,Transect,Region,LOAP,LOAP_class,SST,DTS_km,TN,TOC,Cr,Mn,Ni,Cu,Zn,As,Cd,Pb,Chla,Nitrite,Nitrate,Phosphate,Algae,HC_dead,HC_bleached,HC_nonbleached,Turf,CCA,Live_cover,Coral_richness,Shannon_corals,WAT_Shannon_Index_ln,WAT_Species_Richness,WAT_Shannon_functions,WAT_Function_richness,WAT_Alteromonadales,WAT_Bacillota,WAT_Bacteroidota,WAT_Cyanobacteriota,WAT_Desulfovibrionales,WAT_Endozoicomonas,WAT_Flavobacteriales,WAT_Hyphomicrobiales,WAT_Nisaea_spp,WAT_Prochlorococcus_marinus,WAT_Pseudoalteromonas,WAT_Rhodobacterales,WAT_Synechococcus,WAT_Vibrio_spp
JD01_T2,JD01,T2,Jeddah,5.75,Medium,31.62499319,4.21825421,0.111993864,0.520344675,19.91,2.39,2.78,0.89,2.02,5.75,1.99,0.0014815,0.39297663,0.05062438,0.93549128,0.05345817,1.18152524,1.288936627,1.93340494,7.08915145,21.05263158,0,34.58646616,9,1.744287177,3.624003948,505,24,1.772866078,0.001578561,0.011215125,0.133370044,0.232580764,3.67E-05,1.28E-04,0.120099119,0.006534508,0.021549192,0.002991924,8.26E-04,0.031204112,0.221127019,7.89E-04
JD01_T3,JD01,T3,Jeddah,5.75,Medium,31.62499319,4.21825421,0.133135304,0.460679889,18.62,2.4,2.8,2.51,3.19,5.88,1.94,0.02717288,0.35999022,0.06962211,0.91877521,0.02502857,0.10905125,1.635768811,1.30861505,2.94438386,41.98473282,0.109051254,51.47219192,8,1.905975037,3.629261597,573,22,1.756633121,0.001321586,0.010939794,0.130910426,0.249137298,7.34E-05,5.51E-05,0.11914464,0.006332599,0.021182085,0.002404552,6.42E-04,0.032433921,0.238270925,0.001046256
JD02_T1,JD02,T1,Jeddah,6.75,High,32.11999318,2.59775303,0.123635106,0.467793942,21.78453267,2.390405294,2.891852771,2.507343635,0.840157155,6.340984285,1.961331679,0.085235732,0.72537266,0.31339731,1.10923842,0.04092809,0.41841004,0,0,2.92887029,8.78661088,0,14.12133891,3,0.490450001,3.92053113,632,28,1.86497054,0.003303965,0.007801028,0.230506608,0.163711454,0,0,0.198953744,0.006754772,0.028634361,0.001156388,8.99E-04,0.045521292,0.146842878,0.001927313
JD02_T2,JD02,T2,Jeddah,6.75,High,32.11999318,2.59775303,0.117248356,0.400333494,20.05285412,2.631078224,3.845665962,1.827439963,0.633416159,5.897463002,2.032769556,0.114799154,0.57345432,0.06638337,0.94383845,0.02989319,0.31413613,0.314136126,0.20942408,9.84293194,18.21989529,0.732984293,38.53403142,12,1.869629765,3.83716651,527,27,1.85157114,0.002936858,0.007488987,0.187628488,0.178285609,5.51E-05,7.34E-05,0.166721733,0.00767254,0.027331131,6.79E-04,8.63E-04,0.032562408,0.161141703,0.001376652
JD02_T3,JD02,T3,Jeddah,6.5,High,32.11999318,2.59775303,0.11362081,0.438350976,20.2399915,2.454072422,3.056175003,1.144960653,0.426675162,5.528299883,1.986832325,0.100017443,0.65801811,0.06718762,1.50283775,0.03039861,0.52246604,0,0.52246604,14.10658307,15.98746082,0,34.58725183,11,1.418817932,3.927095118,829,30,1.847190836,0.002991924,0.007433921,0.198586637,0.177092511,1.84E-05,0,0.174926579,0.00945301,0.026982379,9.73E-04,0.001156388,0.038674743,0.161104993,0.001321586
JD03_T1,JD03,T1,Jeddah,4.5,Medium,32.23999318,1.52983,0.085725099,0.437209159,14.1187926,2.185004869,2.320350536,0.265628043,1.932972652,5.00194742,1.811100292,0.0014815,0.48362406,0.10222691,1.03837446,0.11399215,0.31545741,1.261829653,0.31545741,11.35646688,46.68769717,1.051524711,61.72450053,11,1.462256519,3.853206,390,20,1.79749775,0.003707783,0.025715859,0.118649046,0.210077093,1.10E-04,0,0.102331131,0.001431718,0.0135279,0.018428781,9.91E-04,0.044162996,0.177000734,0.001486784
JD03_T2,JD03,T2,Jeddah,4.5,Medium,32.23999318,1.52983,0.087607466,0.419997037,9.581749049,2.060836502,1.848859316,0.709347054,2.24904943,3.966730038,1.763307985,0.013555133,0.57901651,0.12663703,1.22012096,0.07128458,2.32312566,0.527983105,0.10559662,10.77085534,44.03379092,1.055966209,60.61246041,15,2.135771323,4.017303335,699,30,1.855099948,0.005157856,0.028616006,0.108498532,0.202771659,3.12E-04,7.34E-05,0.091226138,0.002129222,0.015124816,0.020392805,0.00253304,0.035921439,0.16506975,0.002643172
JD03_T3,JD03,T3,Jeddah,4.5,Medium,32.23999318,1.52983,0.099372648,0.41686675,12.06286837,2.194499018,2.227897839,1.017388689,1.616895874,4.389980354,1.803536346,0.04780943,0.50786455,0.11715991,1.53248758,0.07295877,0.84210526,1.052631579,0.63157895,15.57894737,43.68421052,0.736842105,67.36842105,14,1.697095972,3.999489344,647,29,1.837134121,0.004203377,0.028414097,0.10945301,0.197118209,4.41E-04,0,0.093483847,0.001762115,0.014702643,0.019456681,0.001651982,0.042015419,0.161270191,0.001138032
JD04_T1,JD04,T1,Jeddah,3,Low,32.22999318,6.56842506,0.113029905,0.524540246,14.67583497,2.332023576,2.319253438,0.754704104,1.848722986,5.111001965,1.855599214,0.0014815,0.29202774,0.12115943,1.63884874,0.02288056,26.20545073,0.314465409,2.30607967,4.50733753,26.41509434,6.918238994,68.23899371,11,2.169940448,3.642343756,420,25,1.742456483,0.001450073,0.015987518,0.10356094,0.228487518,0,1.47E-04,0.093061674,0.00482746,0.023513216,0.027734949,5.14E-04,0.024504405,0.19133627,6.06E-04
JD04_T2,JD04,T2,Jeddah,3,Low,32.22999318,6.56842506,0.125085354,0.441844165,10.34816248,2.124758221,2.258220503,0.725856374,1.608317215,4.128626692,1.801740812,0.0014815,0.22841613,0.09233679,1.17616791,0.04811972,30.46218487,0.840336134,3.67647059,4.62184874,37.92016807,7.983193277,85.50420168,9,1.714063352,3.739374531,553,29,1.777110964,0.00154185,0.015969163,0.111361968,0.20078928,7.34E-05,0,0.09972467,0.004533774,0.021787812,0.031773128,4.96E-04,0.023017621,0.15866373,8.81E-04
