Reef,Sampletype,Replicate,SampleID,Name,Site,Code,Number,Region,Region_number,Depth,Lat,Long,Date.collection,Type.of.sample,Preservation
JD02,WAT,T2R2,JD02_T2R2,JD02,JD02,JD02,13,Jeddah,2,10,21.22495,39.120773,04-Oct-23,Water,-80
JD02,WAT,T3R1,JD02_T3R1,JD02,JD02,JD02,13,Jeddah,2,10,21.22495,39.120773,04-Oct-23,Water,-80
JD02,WAT,T3R2,JD02_T3R2,JD02,JD02,JD02,13,Jeddah,2,10,21.22495,39.120773,04-Oct-23,Water,-80
JD03,WAT,T1R1,JD03_T1R1,JD03,JD03,JD03,14,Jeddah,2,10,21.22495,39.120773,05-Oct-23,Water,-80
JD03,WAT,T1R2,JD03_T1R2,JD03,JD03,JD03,14,Jeddah,2,10,21.22495,39.120773,05-Oct-23,Water,-80
JD03,WAT,T2R1,JD03_T2R1,JD03,JD03,JD03,14,Jeddah,2,10,21.22495,39.120773,05-Oct-23,Water,-80
JD03,WAT,T2R2,JD03_T2R2,JD03,JD03,JD03,14,Jeddah,2,10,21.22495,39.120773,05-Oct-23,Water,-80
JD03,WAT,T3R1,JD03_T3R1,JD03,JD03,JD03,14,Jeddah,2,10,21.22495,39.120773,05-Oct-23,Water,-80
JD03,WAT,T3R2,JD03_T3R2,JD03,JD03,JD03,14,Jeddah,2,10,21.22495,39.120773,05-Oct-23,Water,-80
JPR2,WAT,T1R1,JPR2_T1R1,Jeddah Port 2,JPR2,JPR2,15,Jeddah,2,4,21.477777,39.120869,03-Oct-23,Water,-80
JPR2,WAT,T1R2,JPR2_T1R2,Jeddah Port 2,JPR2,JPR2,15,Jeddah,2,4,21.477777,39.120869,03-Oct-23,Water,-80
JPR2,WAT,T2R1,JPR2_T2R1,Jeddah Port 2,JPR2,JPR2,15,Jeddah,2,4,21.477777,39.120869,03-Oct-23,Water,-80
JPR2,WAT,T2R2,JPR2_T2R2,Jeddah Port 2,JPR2,JPR2,15,Jeddah,2,4,21.477777,39.120869,03-Oct-23,Water,-80
JPR2,WAT,T3R1,JPR2_T3R1,Jeddah Port 2,JPR2,JPR2,15,Jeddah,2,4,21.477777,39.120869,03-Oct-23,Water,-80
JPR2,WAT,T3R2,JPR2_T3R2,Jeddah Port 2,JPR2,JPR2,15,Jeddah,2,4,21.477777,39.120869,03-Oct-23,Water,-80
JD04,WAT,T1R1,JD04_T1R1,JD04,JD04,JD04,16,Jeddah,2,4,21.324269,39.03527,06-Oct-23,Water,-80
